ds,y
2015-04-01,99.70134507532698
2015-04-02,95.47431695216714
2015-04-03,97.80267672434324
2015-04-04,99.06814442730376
2015-04-05,96.82376644322578
2015-04-06,95.2489178714573
2015-04-07,95.11264607043857
2015-04-08,93.26764890182442
2015-04-09,91.27355538825391
2015-04-10,92.39278297476751
2015-04-11,87.02640153220128
2015-04-12,91.19863047877865
2015-04-13,85.48354266333413
2015-04-14,83.58334700645644
2015-04-15,85.83395359613775
2015-04-16,85.63895430572202
2015-04-17,83.88471946128769
2015-04-18,81.30293205544065
2015-04-19,82.09781996592284
2015-04-20,79.62663997201244
2015-04-21,79.83162106121088
2015-04-22,77.81310353857133
2015-04-23,75.89082316350195
2015-04-24,75.41904211271088
2015-04-25,71.67514185659194
2015-04-26,75.12381781311322
2015-04-27,73.74963284766287
2015-04-28,73.55641706709117
2015-04-29,71.58856676631754
2015-04-30,71.92494295484225
2015-05-01,68.87052654835121
2015-05-02,69.6829139855986
2015-05-03,69.34868168677325
2015-05-04,67.8322495056509
2015-05-05,67.81101154937424
2015-05-06,65.16048678428433
2015-05-07,64.0715776293729
2015-05-08,62.43123381252391
2015-05-09,63.32096584448098
2015-05-10,65.05882400018535
2015-05-11,64.0673162434278
2015-05-12,56.52566434003909
2015-05-13,58.38282640091843
2015-05-14,54.935774731730646
2015-05-15,56.11430579183097
2015-05-16,52.6687220287472
2015-05-17,55.00041584622404
2015-05-18,52.50033920621397
2015-05-19,52.202111429525885
2015-05-20,50.66676777613094
2015-05-21,51.32381582632968
2015-05-22,47.77497664145656
2015-05-23,53.32452082811463
2015-05-24,43.45700616817436
2015-05-25,43.92750271823726
2015-05-26,45.00275533149533
2015-05-27,43.34116878988929
2015-05-28,44.1163994497558
2015-05-29,43.841491664226204
2015-05-30,41.004397437507194
2015-05-31,41.71343009847156
2015-06-01,38.835608402368855
2015-06-02,38.667582806710385
2015-06-03,36.30737588878081
2015-06-04,35.52452658073691
2015-06-05,33.884684189362154
2015-06-06,36.60389146308042
2015-06-07,32.30872065964415
2015-06-08,31.37333157795735
2015-06-09,31.292494742893997
2015-06-10,31.239214013025844
2015-06-11,30.427716961689995
2015-06-12,26.29690045734878
